LANGE MOVEMENT CALIBRE CHARACTERISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updated 30AUG24  |  Please e-mail corrections and additions to this address:  sportdeath @  comcast . net  (remove the spaces around the @ and .),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAL. NUMBERING: ""Lwxy.z"" → ""wx""=year development began, ""y""=sequence # in that development year, ""z""=variation # (Ex: L043.5 = 3rd movement developed in 2004 & 5th variation of base cal. L043; L901.0 development began 1990)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE LOOK FOR THIS STOLEN LANGE WATCH, CLICK HERE: # 39/100 (caseback # 117439, movement # 7439)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOVEMENT CALIBRE,Typical Model,Years Sold,Winding Type,Diameter (mm),Height (mm),Parts,Rubies,Diamonds,Chatons,Power Reserve (hours),Frequency,Balance Adjust,Balance Spring,Barrels,Tourbillon,Fusée & Chain,Acoustics,Seconds Mechanism,Column Wheel,Power Reserve Display,Hours/ Minutes,Seconds,Date,Day,Week,Month,Leap Year,Time Zone,Day/Night or 12/24H,Moonphase,Chronograph,Flyback,Split,Notes
L921.6,Große Langematik Gangreserve (Wempe),2005-2006,Automatic,30.40,4.50,343,42,0,1,48,"  21,600   ",screws,Nivarox®,1,no,no,none,Zero Reset,no,subdial,center,subdial,no,no,no,no,no,no,no,no,no,no,no,
L921.7,"Langematik Anniversary ""Jubilee / Jubiläum""",2001-2004,Automatic,30.40,3.80,307,36,0,0,46,"  21,600   ",screws,Nivarox®,1,no,no,none,Zero Reset,no,no,center,subdial,no,no,no,no,no,no,no,no,no,no,no,
L922.1,Langematik Perpetual,2001-2018,Automatic,30.40,5.70,478,43,0,0,46,"  21,600   ",screws,Nivarox®,1,no,no,none,Zero Reset,no,no,center,subdial,subdial,subdial,no,subdial,subdial,no,subdial,yes,no,no,no,1-push 1-day calendar advance
L931.3,Cabaret,1997-2010,Manual,25.6 x 17.6,4.95,237,30,0,3,42,"  21,600   ",screws,Nivarox®,1,no,no,none,stop,no,no,center,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,
L931.4,"Cabaret ""Soirée""",2009-2010,Manual,25.6 x 17.6,4.95,237,30,0,3,42,"  21,600   ",screws,Nivarox®,1,no,no,none,stop,no,no,center,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,same as L931.3 but longer pinions for thicker (MOP) dial
L931.5,Cabaret Moonphase,2005-2009,Manual,25.6 x 17.6,5.50,268,31,0,3,42,"  21,600   ",screws,Nivarox®,1,no,no,none,stop,no,no,center,subdial,Big Date,no,no,no,no,no,no,yes,no,no,no,
L931.6,"Cabaret ""LOG""",2009-2010,Manual,25.6 x 17.6,5.50,268,31,0,3,42,"  21,600   ",screws,Nivarox®,1,no,no,none,stop,no,no,center,subdial,Big Date,no,no,no,no,no,no,yes,no,no,no,personalized balance cock engraving; WG movement cocks
L941.1,"1815, Saxonia",1995-now,Manual,25.60,3.20,164,21,0,4,45,"  21,600   ",screws,Nivarox®,1,no,no,none,stop,no,no,center,subdial,no,no,no,no,no,no,no,no,no,no,no,
L941.2,Little Saxonia,2010-now,Manual,25.60,3.20,164,21,0,4,45,"  21,600   ",screws,Nivarox®,1,no,no,none,stop,no,no,center,subdial,no,no,no,no,no,no,no,no,no,no,no,same as L941.1 but longer pinions for thicker dial
L941.3,Saxonia,1997-2007,Manual,25.60,3.20,233,30,0,4,45,"  21,600   ",screws,Nivarox®,1,no,no,none,stop,no,no,center,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,
L942.1,1815 Up/Down,1997-2008,Manual,25.60,3.58,209,27,0,6,45,"  21,600   ",screws,Nivarox®,1,no,no,none,stop,no,subdial,center,subdial,no,no,no,no,no,no,no,no,no,no,no,
L943.1,"1815 Moonphase ""Emil Lange""",1999-2001,Manual,27.50,3.85,220,26,0,6,45,"  21,600   ",screws,Nivarox®,1,no,no,none,stop,no,no,center,subdial,no,no,no,no,no,no,no,yes,no,no,no,
L943.2,"1815 Moonphase ""F.A. Lange Homage""",2010-2013,Manual,27.50,3.90,220,26,0,6,45,"  21,600   ",screws,Lange in-house,1,no,no,none,stop,no,no,center,subdial,no,no,no,no,no,no,no,yes,no,no,no,probably same as L943.1 but with larger diameter base plate for larger case
L944.1,"1815 ""Side Step"" (Wempe)",2003-2004,Manual,25.6,3.7,189,27,0,5,45,"  21,600   ",screws,Nivarox®,1,no,no,none,stop,no,no,center,subdial,no,no,no,no,no,no,no,no,no,no,no,
L951.0,1815 Chronograph,2004-2011,Manual,30.60,6.10,320,34,0,4,36,"  18,000   ",screws,Nivarox®,1,no,no,none,stop,1,no,center,subdial,no,no,no,no,no,no,no,no,yes,yes,no,
L951.1,Datograph,1999-2013,Manual,30.60,7.50,405,40,0,4,36,"  18,000   ",screws,Nivarox®,1,no,no,none,stop,1,no,center,subdial,Big Date,no,no,no,no,no,no,no,yes,yes,no,
L951.5,1815 Chronograph,2010-now,Manual,30.60,6.10,306,40,0,4,60,"  18,000   ",weights,Lange in-house,1,no,no,none,stop,1,no,center,subdial,no,no,no,no,no,no,no,no,yes,yes,no,
L951.6,Datograph Up/Down,2012-now,Manual,30.60,7.90,451,46,0,4,60,"  18,000   ",weights,Lange in-house,1,no,no,none,stop,1,subdial,center,subdial,Big Date,no,no,no,no,no,no,no,yes,yes,no,
L951.7,"Datograph Up/Down ""Lumen""",2018-2019,Manual,30.60,8.10,454,46,0,4,60,"  18,000   ",weights,Lange in-house,1,no,no,none,stop,1,subdial,center,subdial,Big Date,no,no,no,no,no,no,no,yes,yes,no,
L951.8,Datograph Handwerkskunst,2024-2025,Manual,30.60,7.90,426,43,0,4,60,"  18,000   ",weights,Lange in-house,1,no,no,none,stop,1,no,center,subdial,Big Date,no,no,no,no,no,no,no,yes,yes,no,
L952.1,Datograph Perpetual,2006-now,Manual,32.00,8.00,556,45,0,4,36,"  18,000   ",weights,Lange in-house,1,no,no,none,stop,1,no,center,subdial,Big Date,subdial,no,subdial,subdial,no,subdial,yes,yes,yes,no,
L952.2,Dato Perpetual Tourbillon,2016-now,Manual,32.60,9.00,729,59,1,5,50,"  18,000   ",weights,Lange in-house,1,yes (back),no,none,stop,1,window,center,subdial,Big Date,subdial,no,subdial,window,no,window,yes,yes,yes,no,
L952.4,"Dato Perpetual Tourbillon ""Lumen""",2024-2025,Manual,32.60,9.00,684,56,1,5,50,"  18,000   ",weights,Lange in-house,1,yes (back),no,none,stop,1,no,center,subdial,Big Date,subdial,no,subdial,window,no,window,yes,yes,yes,no,
L961.1,Lange 1 Tourbillon,2001-2002,Manual,30.60,5.90,378,47,2,8,72,"  21,600   ",screws,Nivarox®,2,yes,no,none,non-hacking,no,subdial,subdial,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,
